ID,ParkName,LocationName,ParkType,CAPACITY,Open,Close,CountyName,LONGITUDE,LATITUDE
169,Mim Kemal Oke Caddesi 2,Mim Kemal Ok,Yol Ustu,40,8:00:00 AM,7:00:00 PM,Sisli,28.99119027,41.04936142
170,Macka Caddesi 2,Sisli Macka Caddes,Yol Ustu,40,8:00:00 AM,12:00:00 AM,Sisli,28.99304134,41.0459901
171,Macka Caddesi 3,Sisli Macka Caddes,Yol Ustu,30,8:00:00 AM,12:00:00 AM,Sisli,28.99358056,41.0453009
172,Taskisla Caddesi 1,Sisli Taskisla Caddes,Yol Ustu,17,8:00:00 AM,8:00:00 PM,Sisli,28.99132774,41.04794595
173,Kurtulus Caddesi 4,Kurtulus Caddes,Yol Ustu,45,8:00:00 AM,6:00:00 PM,Sisli,28.98213515,41.04996744
174,Kurtulus Caddesi 5,Kurtulus Caddes,Yol Ustu,40,8:00:00 AM,6:00:00 PM,Sisli,28.98126076,41.04893035
175,Sisli Silahsor Caddesi 1,Sisli Silahsor Caddes,Yol Ustu,40,8:00:00 AM,6:00:00 PM,Sisli,28.98355772,41.0571564
176,Yildizposta Caddesi 6,Yildizposta Caddes,Yol Ustu,52,8:00:00 AM,6:00:00 PM,Besiktas,29.00856477,41.06552397
177,Yildizposta Caddesi 9,Yildizposta Caddes,Yol Ustu,30,8:00:00 AM,6:00:00 PM,Besiktas,29.00594127,41.06636689
178,Vefa Bayiri Sokak 1,Vefa Bayiri Soka,Yol Ustu,40,8:00:00 AM,6:00:00 PM,Besiktas,29.00893203,41.06480884
179,Alemdag Caddesi 1,Alemdag Caddes,Yol Ustu,20,8:00:00 AM,7:00:00 PM,Umraniye,29.09991327,41.02507107
180,Nispetiye Caddesi 1,Nispetiye Caddes,Yol Ustu,23,8:00:00 AM,7:00:00 PM,Besiktas,29.01821927,41.07531159
181,Levent Carsi 2,Levent Cars,Yol Ustu,23,8:00:00 AM,7:00:00 PM,Besiktas,29.01530528,41.07584204
182,Levent Dunya Goz Onu 1,Dunya Goz Hastanesi On,Yol Ustu,19,8:00:00 AM,7:00:00 PM,Besiktas,29.01808339,41.0733309
183,Bosna Bulvari 3,Umraniye Bosna Bulvar,Yol Ustu,35,8:00:00 AM,7:00:00 PM,Umraniye,29.08346593,41.02561472
