ID,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,County_Name,Neighborhood_Name,LATITUDE,LONGITUDE
392,1,Akaryakit,13,Shell-Turcas Petrol,Bayrampasa,Ismet Pasa,41.04060278,28.91167199
393,2,Akaryakit Lpg,3,Aytemiz,Kadikoy,Kozyatagi,40.96764901,29.10274261
394,2,Akaryakit Lpg,10,Opet,Beyoglu,Kececi Piri,41.03833142,28.95672622
395,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Sultangazi,Cebeci,41.10887447,28.85970541
396,1,Akaryakit,10,Opet,Bagcilar,Fatih,41.05473055,28.84050802
397,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Kucukcekmece,Istasyon,41.03370432,28.76812558
398,2,Akaryakit Lpg,10,Opet,Kartal,Petrol Is,40.89118955,29.17736785
399,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Beyoglu,Istiklal,41.04063261,28.96738729
400,2,Akaryakit Lpg,15,Total,Gaziosmanpasa,Kazim Karabekir,41.06957312,28.9164633
401,1,Akaryakit,13,Shell-Turcas Petrol,Kadikoy,Bostanci,40.95732295,29.09763305
402,1,Akaryakit,9,LukOil,Sisli,Huzur,41.10294228,28.99991812
403,2,Akaryakit Lpg,9,LukOil,Esenyurt,Aksemseddin,41.02222481,28.70110036
404,2,Akaryakit Lpg,12,Petrol Ofisi,Avcilar,Universite,40.99051733,28.71819777
405,1,Akaryakit,12,Petrol Ofisi,Atasehir,Kucukbakkalkoy,40.98599295,29.10873277
406,1,Akaryakit,12,Petrol Ofisi,Gaziosmanpasa,Barbaros Hayrettin Pasa,41.07864913,28.89545498
407,2,Akaryakit Lpg,15,Total,Bakirkoy,Kartaltepe,40.99700685,28.87159734
408,2,Akaryakit Lpg,15,Total,Bagcilar,Mahmutbey,41.05805477,28.83089764
409,2,Akaryakit Lpg,9,LukOil,Atasehir,Kucukbakkalkoy,40.98103833,29.13111308
410,1,Akaryakit,14,Termopet Akaryakit,Silivri,Beyciler,41.23063559,28.11426707
411,2,Akaryakit Lpg,15,Total,Eyupsultan,Merkez,41.05667261,28.939119
412,1,Akaryakit,10,Opet,Umraniye,Yukari Dudullu,41.01414594,29.16373448
413,2,Akaryakit Lpg,5,BP,Bahcelievler,Cobancesme,41.00099729,28.82271767
414,2,Akaryakit Lpg,5,BP,Esenyurt,Ataturk,41.03602095,28.6240577
415,2,Akaryakit Lpg,10,Opet,Buyukcekmece,Cakmakli,41.06395049,28.6219796
416,2,Akaryakit Lpg,10,Opet,Esenyurt,Saadetdere,41.00935027,28.70135904
417,2,Akaryakit Lpg,12,Petrol Ofisi,Eyupsultan,Gokturk Merkez,41.17927948,28.88399551
418,2,Akaryakit Lpg,24,Bpet,Sile,Mesrutiyet,41.16792395,29.56129221
419,1,Akaryakit,15,Total,Esenyurt,Saadetdere,41.00012885,28.6951154
420,1,Akaryakit,12,Petrol Ofisi,Pendik,Fevzi Cakmak,40.87370848,29.26604853
421,1,Akaryakit,12,Petrol Ofisi,Bayrampasa,Altintepsi,41.04267971,28.89604688
422,1,Akaryakit,12,Petrol Ofisi,Bayrampasa,Altintepsi,41.03651323,28.89363037
423,1,Akaryakit,5,BP,Uskudar,Burhaniye,41.02421121,29.05469689
424,2,Akaryakit Lpg,10,Opet,Fatih,Aksaray,41.00370175,28.94995966
425,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Beylikduzu,Yakuplu,41.0047102,28.66441315
426,2,Akaryakit Lpg,5,BP,Umraniye,Madenler,41.00793467,29.18071075
427,1,Akaryakit,12,Petrol Ofisi,Umraniye,Atakent,41.0227853,29.1096133
428,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Atasehir,Fetih,41.00151354,29.07805502
429,2,Akaryakit Lpg,9,LukOil,Sultanbeyli,Mehmet Akif,40.96435042,29.27415361
430,2,Akaryakit Lpg,10,Opet,Buyukcekmece,Murat Cesme,41.01262049,28.53723371
431,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Sancaktepe,Fatih,40.95854245,29.21479814
